,GameId,HomeTeamAbbr,VisitorTeamAbbr,Week
0,2017090700,NE,KC,1
1,2017091000,BUF,NYJ,1
2,2017091001,CHI,ATL,1
3,2017091002,CIN,BAL,1
4,2017091003,CLE,PIT,1
5,2017091004,DET,ARI,1
6,2017091005,HOU,JAX,1
7,2017091007,TEN,OAK,1
8,2017091008,WAS,PHI,1
9,2017091009,LA,IND,1
10,2017091010,GB,SEA,1
11,2017091011,SF,CAR,1
12,2017091012,DAL,NYG,1
13,2017091100,MIN,NO,1
14,2017091101,DEN,LAC,1
15,2017091400,CIN,HOU,2
16,2017091700,BAL,CLE,2
17,2017091701,CAR,BUF,2
18,2017091702,IND,ARI,2
19,2017091703,JAX,TEN,2
20,2017091704,KC,PHI,2
21,2017091705,NO,NE,2
22,2017091706,PIT,MIN,2
23,2017091707,TB,CHI,2
24,2017091708,LAC,MIA,2
25,2017091709,OAK,NYJ,2
26,2017091710,DEN,DAL,2
27,2017091711,LA,WAS,2
28,2017091712,SEA,SF,2
29,2017091713,ATL,GB,2
30,2017091800,NYG,DET,2
31,2017092100,SF,LA,3
32,2017092400,JAX,BAL,3
33,2017092401,BUF,DEN,3
34,2017092402,CAR,NO,3
35,2017092403,CHI,PIT,3
36,2017092404,DET,ATL,3
37,2017092405,IND,CLE,3
38,2017092406,MIN,TB,3
39,2017092407,NE,HOU,3
40,2017092408,NYJ,MIA,3
41,2017092409,PHI,NYG,3
42,2017092410,TEN,SEA,3
43,2017092411,GB,CIN,3
44,2017092412,LAC,KC,3
45,2017092413,WAS,OAK,3
46,2017092500,ARI,DAL,3
47,2017092800,GB,CHI,4
48,2017100100,MIA,NO,4
49,2017100101,ATL,BUF,4
50,2017100102,BAL,PIT,4
51,2017100103,CLE,CIN,4
52,2017100104,DAL,LA,4
53,2017100105,HOU,TEN,4
54,2017100106,MIN,DET,4
55,2017100107,NE,CAR,4
56,2017100108,NYJ,JAX,4
57,2017100109,ARI,SF,4
58,2017100110,LAC,PHI,4
59,2017100111,TB,NYG,4
60,2017100112,DEN,OAK,4
61,2017100113,SEA,IND,4
62,2017100200,KC,WAS,4
