,GameId,PlayId,Quarter,GameClock
0,2017090700,118,1,14:14:00
1,2017090700,139,1,13:52:00
2,2017091000,81,1,14:52:00
3,2017091000,221,1,12:48:00
4,2017091001,71,1,14:48:00
5,2017091001,164,1,11:53:00
6,2017091002,104,1,14:19:00
7,2017091002,125,1,13:47:00
8,2017091003,80,1,14:24:00
9,2017091003,129,1,13:35:00
10,2017091004,97,1,14:16:00
11,2017091004,153,1,12:51:00
12,2017091005,77,1,15:00:00
13,2017091005,98,1,14:26:00
14,2017091007,82,1,14:16:00
15,2017091007,280,1,11:57:00
16,2017091008,90,1,14:50:00
17,2017091008,135,1,13:31:00
18,2017091009,51,1,15:00:00
19,2017091009,222,1,12:43:00
20,2017091010,411,1,09:26:00
21,2017091010,445,1,08:52:00
22,2017091011,51,1,15:00:00
23,2017091011,100,1,13:42:00
24,2017091012,87,1,14:25:00
25,2017091012,129,1,13:06:00
26,2017091100,87,1,14:56:00
27,2017091100,108,1,14:17:00
28,2017091101,52,1,15:00:00
29,2017091101,121,1,13:21:00
30,2017091400,52,1,15:00:00
31,2017091400,149,1,13:59:00
32,2017091700,53,1,15:00:00
33,2017091700,74,1,14:20:00
34,2017091701,52,1,15:00:00
35,2017091701,165,1,12:45:00
36,2017091702,51,1,15:00:00
37,2017091702,279,1,11:02:00
38,2017091703,56,1,15:00:00
39,2017091703,82,1,14:25:00
40,2017091704,71,1,14:55:00
41,2017091704,191,1,12:11:00
42,2017091705,75,1,14:28:00
43,2017091705,203,1,12:08:00
44,2017091706,59,1,14:56:00
45,2017091706,82,1,14:10:00
46,2017091707,74,1,14:56:00
47,2017091707,128,1,14:15:00
48,2017091708,64,1,15:00:00
49,2017091708,85,1,14:26:00
50,2017091709,62,1,14:54:00
51,2017091709,118,1,13:38:00
52,2017091710,75,1,14:34:00
53,2017091710,162,1,12:35:00
54,2017091711,51,1,15:00:00
55,2017091711,75,1,14:25:00
56,2017091712,85,1,14:27:00
57,2017091712,152,1,13:07:00
58,2017091713,61,1,14:56:00
59,2017091713,106,1,13:54:00
60,2017091800,59,1,14:50:00
61,2017091800,104,1,13:36:00
62,2017092100,77,1,14:52:00
63,2017092100,134,1,14:43:00
64,2017092400,73,1,15:00:00
65,2017092400,178,1,13:32:00
66,2017092401,134,1,13:33:00
67,2017092401,180,1,12:52:00
68,2017092402,81,1,14:30:00
69,2017092402,126,1,13:13:00
70,2017092403,81,1,14:53:00
71,2017092403,143,1,13:52:00
72,2017092404,73,1,14:54:00
73,2017092404,189,1,12:09:00
74,2017092405,56,1,15:00:00
75,2017092405,77,1,14:32:00
76,2017092406,61,1,15:00:00
77,2017092406,82,1,14:28:00
78,2017092407,59,1,14:57:00
79,2017092407,146,1,13:32:00
80,2017092408,51,1,15:00:00
81,2017092408,91,1,13:35:00
82,2017092409,80,1,14:07:00
83,2017092409,165,1,11:56:00
84,2017092410,57,1,15:00:00
85,2017092410,149,1,13:36:00
86,2017092411,57,1,14:55:00
87,2017092411,102,1,13:35:00
88,2017092412,69,1,14:55:00
89,2017092412,138,1,13:59:00
90,2017092413,61,1,15:00:00
91,2017092413,150,1,14:12:00
92,2017092500,83,1,14:20:00
93,2017092500,208,1,11:24:00
94,2017092800,51,1,15:00:00
95,2017092800,72,1,14:25:00
96,2017100100,73,1,14:52:00
97,2017100100,175,1,12:20:00
98,2017100101,83,1,14:20:00
99,2017100101,133,1,13:14:00
100,2017100102,52,1,15:00:00
101,2017100102,73,1,14:15:00
102,2017100103,79,1,14:18:00
103,2017100103,176,1,13:02:00
104,2017100104,106,1,14:41:00
105,2017100104,160,1,14:05:00
106,2017100105,128,1,14:01:00
107,2017100105,173,1,12:55:00
108,2017100106,71,1,14:20:00
109,2017100106,116,1,13:05:00
110,2017100107,275,1,11:47:00
111,2017100107,368,1,09:20:00
112,2017100108,149,1,13:17:00
113,2017100108,239,1,10:53:00
114,2017100109,74,1,14:55:00
115,2017100109,119,1,13:37:00
116,2017100110,98,1,14:23:00
117,2017100110,152,1,13:39:00
118,2017100111,53,1,15:00:00
119,2017100111,74,1,14:23:00
